Compound,n_observations,df_group,F_group,R2_group,p_group,df_temperature,F_temperature,R2_temperature,p_temperature,df_group_temp,F_group_temp,R2_group_temp,p_group_temp,ran_permanova,note,p_group_FDR,p_temperature_FDR,p_group_temp_FDR
UMP,47,2,32.96992135244004,0.5831602892972758,0.001,2,2.656303076229306,0.0469837478177813,0.038,4,1.163745411522037,0.04053568718607166,0.334,TRUE,NA,0.0011477272727272727,0.13707142857142857,0.7638124999999999
Uridine,47,2,80.32090366431713,0.7724280305765084,0.001,2,2.933535262098781,0.028211147556303672,0.046,4,0.6732738645561459,0.013365332101433487,0.679,TRUE,NA,0.0011477272727272727,0.14987096774193548,0.9426666666666667
Xylose-5-phosphate,42,2,25.781068306483807,0.5656665385091493,0.001,2,2.4327993558591063,0.05337843933216736,0.071,4,0.5256793513076222,0.02431484357051698,0.778,TRUE,NA,0.0011477272727272727,0.179275,0.9465813953488373
2-Hydroxyglutarate,47,2,88.39709569943602,0.7932584332016507,0.001,2,1.8087781722438943,0.01623162534436854,0.173,4,0.7700819982194009,0.01413054967963814,0.601,TRUE,NA,0.0011477272727272727,0.3627755102040816,0.91955223880597
2-Phenylbutyric acid,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
a-ketoglutarate,47,2,17.74598372439066,0.4293279331644588,0.001,2,2.6900467765377143,0.06508020297005584,0.061,4,0.780960166529373,0.038592558219837855,0.601,TRUE,NA,0.0011477272727272727,0.16574358974358974,0.91955223880597
Acetyl-Methionine,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Aconitate,47,2,5.482339020809887,0.20313174309591203,0.005,2,0.47509885064203466,0.01760337281358498,0.661,4,0.3048035777968012,0.02418869087887381,0.902,TRUE,NA,0.00554945054945055,0.7597444444444446,0.9674736842105264
Allantoate,39,2,3.4948951426498502,0.14998272117067749,0.014,2,3.059509638431381,0.131298239944313,0.031,4,0.6458036538545394,0.0578392376728815,0.673,TRUE,NA,0.015042553191489363,0.12928,0.9426666666666667
Cellobiose,47,2,6.41588612800179,0.2302580080937616,0.001,2,0.28660776011294725,0.010285988658650876,0.921,4,0.67470696191962,0.04997705629472751,0.748,TRUE,NA,0.0011477272727272727,0.9491938775510204,0.9426666666666667
D-Xylose,47,2,12.615746055734778,0.32945251427881106,0.001,2,4.3851784731658086,0.11451626143735416,0.003,4,1.5798390436765046,0.07819492614405547,0.127,TRUE,NA,0.0011477272727272727,0.015947368421052634,0.4137741935483871
dAMP,31,2,1.7440176081527763,0.11324599404570011,0.11,2,0.6860589867103531,0.04454853641431454,0.782,2,0.8380539973707947,0.05510463614430372,0.578,TRUE,NA,0.1111,0.8227291666666666,0.91955223880597
Diglycolic acid,47,2,27.336118274947914,0.5558272620435667,0.001,2,1.2878189000335847,0.026185314462500765,0.296,4,0.8953028549688633,0.03677520622943381,0.493,TRUE,NA,0.0011477272727272727,0.47453968253968254,0.8846206896551725
Fructose,47,2,9.35577786268411,0.30230292389983215,0.001,2,0.46144647652603893,0.014910210687396142,0.766,4,1.015664541135497,0.0655383205446009,0.427,TRUE,NA,0.0011477272727272727,0.8227291666666666,0.8137169811320755
Fructose-6-phosphate,47,2,40.22867406431706,0.6462105420133856,0.001,2,1.0233004658979201,0.016437716730440064,0.393,4,0.18677118259955508,0.0065041184593296174,0.993,TRUE,NA,0.0011477272727272727,0.5713714285714286,0.993
Fumarate,47,2,86.20114706876791,0.7995447426048073,0.001,2,0.5944022376550793,0.005513281438476857,0.592,4,1.87817607456435,0.032152346647999853,0.114,TRUE,NA,0.0011477272727272727,0.7381728395061727,0.3970344827586207
Glucose,47,2,54.15048669448264,0.7011719680862541,0.001,2,2.225820962576414,0.02882122322819975,0.079,4,2.6195978509667213,0.05877435769281656,0.019,TRUE,NA,0.0011477272727272727,0.19238095238095237,0.10099999999999999
Glucose-6-phosphate,47,2,43.47496499039238,0.6307275820308806,0.001,2,4.9123087246177235,0.07126696030122259,0.001,4,0.8559628728579963,0.025181773889326558,0.571,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.91955223880597
