original,file,uw hyak,same?
039764a59b44ebda27c95abbdbad7bc2,53_S964_R1_001.fastq.gz,039764a59b44ebda27c95abbdbad7bc2,TRUE
8044d06c9102138e392558656fdb2c54,53_S964_R2_001.fastq.gz,8044d06c9102138e392558656fdb2c54,TRUE
1751eb4cbbf4aae412c8e3d8c619480e,54_S175_R1_001.fastq.gz,1751eb4cbbf4aae412c8e3d8c619480e,TRUE
72862fe226390ef58778f67e242589d1,54_S175_R2_001.fastq.gz,72862fe226390ef58778f67e242589d1,TRUE
f33f1fef904c56b44288480ff7d64641,55_S176_R1_001.fastq.gz,f33f1fef904c56b44288480ff7d64641,TRUE
4e1b10e3334ddbc62231ec914733f752,55_S176_R2_001.fastq.gz,4e1b10e3334ddbc62231ec914733f752,TRUE
dc814d492c8c9eb27b82575120c72af0,55_S966_R1_001.fastq.gz,dc814d492c8c9eb27b82575120c72af0,TRUE
76965dd4a0ee91bcbd586431eada6f97,55_S966_R2_001.fastq.gz,76965dd4a0ee91bcbd586431eada6f97,TRUE
19da78ffbc95a947787a347dba6a7346,56_S177_R1_001.fastq.gz,19da78ffbc95a947787a347dba6a7346,TRUE
429f1e1410bac7592fcc988830d11a16,56_S177_R2_001.fastq.gz,429f1e1410bac7592fcc988830d11a16,TRUE
fd734188b70aaae799077062fd5ebd8c,56_S967_R1_001.fastq.gz,fd734188b70aaae799077062fd5ebd8c,TRUE
8d6f098537ca9c624e5e10a1c52caf1b,56_S967_R2_001.fastq.gz,8d6f098537ca9c624e5e10a1c52caf1b,TRUE
2d5a334d7a6bd6ccc3d1165d7fd0dd83,57_S178_R1_001.fastq.gz,2d5a334d7a6bd6ccc3d1165d7fd0dd83,TRUE
ddd1335e6d1a6365eba4921483880a9a,57_S178_R2_001.fastq.gz,ddd1335e6d1a6365eba4921483880a9a,TRUE
75f563590aa77899ded20cadf58caedb,57_S968_R1_001.fastq.gz,75f563590aa77899ded20cadf58caedb,TRUE
562ccbcaa2c2fa2ac97263abb37497ff,57_S968_R2_001.fastq.gz,562ccbcaa2c2fa2ac97263abb37497ff,TRUE
93c18e8ae294cd8c7b6e347b08a76ddc,58_S179_R1_001.fastq.gz,93c18e8ae294cd8c7b6e347b08a76ddc,TRUE
fc7c35079408d574844f7716a4548aef,58_S179_R2_001.fastq.gz,fc7c35079408d574844f7716a4548aef,TRUE
e548478d81c239fcbac87c6c7be76cdc,58_S969_R1_001.fastq.gz,e548478d81c239fcbac87c6c7be76cdc,TRUE
afab515aa3b1e96b470f4935985eca33,58_S969_R2_001.fastq.gz,afab515aa3b1e96b470f4935985eca33,TRUE
7dad1de544ef66450d1dfaefe29e6993,59_S180_R1_001.fastq.gz,7dad1de544ef66450d1dfaefe29e6993,TRUE
26f940481cf29128093ac437b9cba61e,59_S180_R2_001.fastq.gz,26f940481cf29128093ac437b9cba61e,TRUE
c005dbcb1eb96a27f7e57f085ef930e6,59_S970_R1_001.fastq.gz,c005dbcb1eb96a27f7e57f085ef930e6,TRUE
0d0812eabd4293ac73bd2904b047d6bf,59_S970_R2_001.fastq.gz,0d0812eabd4293ac73bd2904b047d6bf,TRUE
daa49246d498babe51db4ec2a574906c,5_S126_R1_001.fastq.gz,daa49246d498babe51db4ec2a574906c,TRUE
5500b9de7cff944dd9d8a9d9d3c67ecd,5_S126_R2_001.fastq.gz,5500b9de7cff944dd9d8a9d9d3c67ecd,TRUE
ab874748b2377de5be3a37fbae158441,5_S916_R1_001.fastq.gz,ab874748b2377de5be3a37fbae158441,TRUE
51d80c20f249f0bd79200d2af63f8833,5_S916_R2_001.fastq.gz,51d80c20f249f0bd79200d2af63f8833,TRUE
12c180a6e0f7ebb761e9a5407ea014c1,60_S181_R1_001.fastq.gz,12c180a6e0f7ebb761e9a5407ea014c1,TRUE
3ddee6c8d9b634d868f8f86208b1db1d,60_S181_R2_001.fastq.gz,3ddee6c8d9b634d868f8f86208b1db1d,TRUE
